Sr no,Name of library,x coord,y coord,Addresss
233,Dr. Babasaheb Ambedkar Sarvajanik Wachanalaya,20.87211148,76.67454658,"VMCF+QRJ, Kalkhed, Maharashtra 444203"
234,Sarvoday Wachanalaya,,,"Kader, Tal. Umarga, Dist. Osmanabad."
235,Mahatma Wachanalaya,,,"Jakekur, Tal. Umarga"
236,Siddheshwar Granthalay,,,"Nagral Gu., Tal. Umarga"
237,Priyadarshani Wachanalaya,,,"Javalga Bet, Tal. Umarga,"
238,Lokmanya Wachanalaya,,,"Yeneguru, Tal. Umarga"
239,Subodh Sarvajanik Wachanalaya,,,"Dabka, Tal. Umarga"
240,Sant Sevalal Wachanalaya Mandal,,,"Naiknagar Su., Tal. Umarga, Dist. Osmanabad."
241,Shree Basveshwar Vachanalay,,,"Wadi Wadgaon, Tal. Umarga"
242,Sadbhavana Wachanalaya,,,"Ghatangri, Tal. Dist. Osmanabad"
243,Jijau Sarvajanik Wachanalaya,,,"Dhoki, Tal. Dist. Osmanabad."
244,Navnath Wachanalaya,,,"Umbarekotha, Tal."
245,Walmik Rushi Sarvajanik Wachanalaya,,,"Kolewadi, Tal. Dist. Osmanabad."
246,Terna Mahila Sarvajanik Wachanalaya,,,"Ter, Tal. Dist. Osmanabad."
247,Shree Venkatesh Wachanalaya,,,"Sarola (Bu.), Tal."
248,Pragati Wachanalaya,,,"Palaswadi, Tal. Dist. Osmanabad."
249,Matoshree Wachanalaya,,,"Kawlewadi, Po. Bukanwadi, Tal"
250,Vithumai Sarvajanik Wachanalaya,,,"Uple (Ma.), Tal. Dist. Osmanabad"
251,Sakhi Mahila Sarvajanik Wachanalaya,,,"Ghargaon Tal. Kalamb,"
252,Sant Dnyaneshwar Wachanalaya,,,"Wadgaon (J), Tal. Kalamb, Dist. Osmanabad"
253,Shivseva Sarvajanik Wachanalaya,,,"Pangaon, Tal. Kalamb, Dist. Osmanabad."
254,Chandni Magar Sarvajanik Wachanalaya,,,"Haladgaon, Tal. Kalamb,"
255,Vijaya Vachnalaya,19.90262138,75.34230855,"N-12, Hudco, J/2, Aurangabad, Maharashtra 431003"
256,Jai Hind Sarvajanik Wachanalaya,,,"Kankraba, Tal. Tuljapur, Dist. Osmanabad"
257,Lokmanya Sarvajanik Wachanalaya,,,"Paranda, Tal. Paranda, Dist. Osmanabad."
258,Shree Datt Sarvajanik Wachanalaya,,,"Watefal, Tal. Paranda,"
259,Hasrat Mohani Public Library,19.88568923,75.34624554,"NEAR QURESHI COMPOUND, Baijipura, Aurangabad, Maharashtra 431001"
260,Gurukrupa Abhyasika & Library,19.88997467,75.36164159,"First Floor, K-89/90, Triveni Jay Bajrang Colony, near Bajrang Chowk, N 7, Cidco, Aurangabad, Maharashtra 431003"
261,Balwant Vachanalay,19.88640496,75.32716239,"V8MG+XM8, Aurangapura Rd, Naralibag, Aurangabad, Maharashtra 431001"
262,GECA Library,19.86977732,75.32493079,"V89F+7W6, Rachanakar Colony, New Usmanpura, Aurangabad, Maharashtra 431005"
263,Lokmanya Abhyasika,19.88172357,75.32827819,"Roxy Talkies Complex, behind Kanfate Hanuman Mandir, Paithan Gate, Sanmitra Colony, Nirala Bazar, Aurangabad, Maharashtra 431003"
264,Nilesh Library,19.86570477,75.35651239,"Gayatri nivas, Gali No. 3, Jai Bhavani Nagar, Sector N 4, Cidco, Aurangabad, Maharashtra 431003"
265,Study Adda 24×7,19.87815694,75.32811284,"Nutan Colony, Nirala Bazar, Aurangabad, Maharashtra 431001"
266,Swapnapurti Abhyasika,19.86508029,75.33532262,"Shreenath Complex, Darga Rd, beside Bank of Baroda, New SBH Colony, Sahakar Nagar, New Usmanpura, Aurangabad, Maharashtra 431005"
267,Mitrodaya Abhyasika,19.88243487,75.32768369,"V8JH+66J, Paithan Gate-Nirala Bazar Rd, Jijamata Nagar, Gulmandi, Nirala Bazar, Aurangabad, Maharashtra 431001"
268,Reader's Point Study Center,19.8789641,75.34596562,"Office No.1, Near Central Mall, Jalana Road, Chowk, Opposite Akashwani, Mahesh Nagar, Aurangabad, Maharashtra 431003"
269,"Government Divisional Library,Aurangabad",19.88092959,75.32260417,"V8HF+R6R, Sillekhana Road, Samarth Nagar, Sawarkar Chowk, Aurangabad, Maharashtra 431001"
270,Gyaan Vardhini Abhyasika,19.89114664,75.32467693,"V8FH+XHC, Paithangate Rd, Opp. Telephone Exchange, Kranti Chowk, Nutan Colony, Ajabnagar, Aurangabad, Maharashtra 431001"
271,Kai. Narayanrao Ujlambkar Sarvajanik Wachnalaya,19.89312313,75.37273779,"C-64, C-64, Kamgar Chowk, Sector N 4, Cidco, Aurangabad, Maharashtra 431009"
272,YASH Library,19.8957309,75.35857233,
273,,,,
274,Haribhau Mule Library,19.87120002,75.32228077,"1, Bhanudas Sabhahgrah Railway Station Rd, Milind Nagar, Rachanakar Colony, New Usmanpura, Aurangabad, Maharashtra 431005"
275,Adarsh Study Centre,19.87814181,75.35644139,"P 16/17 , Town Centre, Behind Raj Petrol Pump, Jalna Road, near Air India Office, Cidco, Aurangabad, Maharashtra 431003"
276,Aasawa Brothers Abhyasika N-2,19.87329255,75.36818123,"Thakare Nagar Rd, near Aurangabad District Cricket Association, Kamgar Chowk, Chh, N 2, Cidco, Aurangabad, Maharashtra 431007"
277,Hasrat Mohani Public Library,19.88644924,75.34577942,"NEAR QURESHI COMPOUND, Baijipura, Aurangabad, Maharashtra 431001"
278,,,,
279,,,,
280,,,,
281,NAGPUR,,,
282,TOUR MANAGE,21.15079561,79.05387348,"Opposite dadadham, Amravati Rd, behind rbi colony, Ravi Nagar, Nagpur, Maharashtra 440033"
283,Rashtrapita Jyotiba Phule Abhyasika,21.1451921,79.05765003,"43R5+W24, near Londe Jewellers, Gokulpeth, Nagpur, Maharashtra 440010"
284,VNIT Library,21.12902078,79.05026859,"43G2+4H8, South Ambazari Road, Nagpur, Maharashtra 440010"
285,The Books Trunk Library & Reading Room,21.10539058,79.07427045,"05, santaji colony, Dandekar Layout, Narendra Nagar, Badil Kheda, Nagpur, Maharashtra 440015"
286,Lakshya Reading Room & Study Centre,21.10898729,79.0937015,"Omkar Nagar Square, Mankapur Ring Rd, near Bhagwan Nagar, Nagpur, Maharashtra 440027"
287,Dhyeya library,21.12279782,79.10480496,"87, Jawahar Nagar, Ayodhya nagar, Nagpur, Maharashtra 440024"
288,Kamgar-kalyan Library,21.1278326,79.11205305,"44G6+3M8, Raghuji Nagar, Nagpur, Maharashtra 440024"
289,Manyavar Kanshiram Public Library,21.11819445,79.0989448,"437X+QPR, 4th Street, New Kailash Nagar, Medical Colony, Rameshwari, Nagpur, Maharashtra 440027"
290,Horizon Reading Room,21.12912722,79.09308464,"16, Wanjari Nagar, Ajni, Nagpur, Maharashtra 440003"
291,Ajay Library,21.12596256,79.09647737,"43FW+2FQ Ajay Reading Hall, Empress Mill Colony, Vishwakarma Nagar, Rameshwari, Nagpur, Maharashtra 440027"
292,Readiology - Ganvir's Hub,21.12478894,79.0980048,"306, Vishwakarma Nagar, B/h Ajni Police Station B/h GMCH South Of, Ridge Rd, Layout, Nagpur, Maharashtra 440027"
293,Chanakya Study Room,21.13346543,79.11171279,"N-18, volleyball ground, Reshim Bagh, Nagpur, Maharashtra 440024"
294,Pragya sheela library,21.13282613,79.12679159,"44JG+8RC, Middle Ring Rd, Nandanvan, Nagpur, Maharashtra 440009"
295,Chanakya Library,21.13574863,79.10897119,"1006, near Union Bank Of India, Shri Krishna Nagar, Reshim Bagh, Nagpur, Maharashtra 440024"
296,Rashtriya Vachanalay,21.1466162,79.10691499,"44V4+PQF, Tilak Rd, Mahal, Nagpur, Maharashtra 440032"
297,Universal Library & Study Circle,21.11348781,79.03944185,"Plot No 15, Gajanan Temple Road, near Yashoda High School, Adarsh Colony, Bhamti, Sainath Nagar, Trimurtee Nagar, Nagpur, Maharashtra 440022"
298,Nkp library,21.11275134,79.00150522,"4222+7G4, Police Nagar, Nagpur, Digdoh, Maharashtra 440016"
299,Corporation Library And Kasturba Vachanalay,21.16365241,79.07510519,"536G+W58, Near Tuta Bagicha & Gandhi Statue, Sadar, Nagpur, Maharashtra 440001"
300,Rajaram Sitaram Dixit Library,21.14316033,79.05896902,"43R5+7CQ, N Bazar Rd, beside Harna Mahila Society, Gokulpeth, Nagpur, Maharashtra 440010"
301,Ratnabodhi Vihar Library,21.1169007,79.0692687,"65, Sawarkar Nagar, Vivekanand Nagar, Nagpur, Maharashtra 440015"
302,Prasanna Prayas Study Center,21.11257702,79.0519309,"M Corp, 2st Floor plot no 84 pandurang gawande layout, Khamla, Nagpur, Maharashtra 440027"
303,The Peace Library,21.19241228,79.09698926,"Aanand kungwani, Plot no. 83, near Sai Mandir, Kushi Nagar, Nari Village, Nagpur, Maharashtra 440014"
304,Dr. APJ Abdul Kalam E-library,21.12915476,79.11143708,"Yashwantrao Chavan School, Behind Kamgar Kalyan Bhavan, Raghuji Nagar, Nagpur, Maharashtra 440009"
305,,,,
306,BEED,,,
307,Kinjal Library,19.00742623,75.75855233,"Back gate of St.ann's School, Swami Vivekanand marg, near Ekta Nagar, Fulai Nagar, Beed, Maharashtra 431122"
308,Swarajya Library,18.99941734,75.74961673,"3rd Floor, Tendulkar's Urvi Capital, Pangri Rd, near Umakiran Shaikshanik Sankul, Kranti Nagar, Beed, Maharashtra 431122"
309,Wadia library,18.99730731,75.75425159,"XQV3+FV3, Bir, Beed, Maharashtra 431122"
310,"Dr. Hedgewar Sarvajanik Vachnalay, Beed",18.99406104,75.75236331,"VH2J+XH5, behind Sangali Bank, Datta Nagar, Beed, Maharashtra 431122"
311,Atharva Abhyasika,18.98763459,75.74774946,"XPPX+665, Navghan College Rd, Bhaya Nagar, Datta Nagar, Beed, Maharashtra 431122"
312,Professional library,18.98664314,75.74339377,"XPPV+6C6, Gurukripa Colony, Datta Nagar, Beed, Maharashtra 431122"
313,,,,
314,SATARA,,,
315,shree Bhairavnath vachnalay,17.69975441,73.98409477,"MXWM+663, Z P Colony, Shahupuri, Satara, Maharashtra 415002"
316,Satara Nagar Vachanalaya,17.68980578,73.98807294,"MXMQ+7R4, Rajwada, Satara, Maharashtra 415002"
317,Rajmudra abhyasika,17.69406915,73.99689973,"malhar plaza, New Radhika Rd, near taluka police station, Koyana Nagar, Satara, Maharashtra 415002"
318,Spectrum library,17.69454293,74.00100253,"M2R2+MR8, Radhika Rd, near Sagar dilux hotel, Koyana Nagar, Satara, Maharashtra 415001"
319,Naal Foundation abhyasika& Book Shop,17.68646401,74.01069046,"Yashodhan Society, Kamathipura, Sadar Bazar, Satara, Maharashtra 415001"
320,karmaveer nagar book library,17.6735676,74.02417127,"M27F+89W, Karmaveer Nagar, Satara, Maharashtra 415004"
321,Rajdhani Library,17.68936563,74.00808462,"M2Q5+78G, Unnamed Road, Ajinkya Colony, Powai Naka, Satara, Maharashtra 415001"
322,Agnipankh abhyasika,17.68509948,74.01229106,"Maurya height, near sai Mandir(temple, Powai Naka, Satara, Maharashtra 415002"
323,Shrihari,17.68053062,74.01112805,"Shrihari,Pushpvilas, Ganesh Nagar Rd, Radhika Nagar, Godoli, Satara, Maharashtra 415002"
324,Satara Nagar Vachanalaya,17.68649646,73.98894173,"MXMQ+7R4, Rajwada, Satara, Maharashtra 415002"
325,,,,
326,AHMEDNAGAR,,,
327,Dnyanada library,19.1322982,74.72622056,"4PJG+88G, Pipeline Rd, Savedi, Ahmednagar, Indraprastha Colony, Maharashtra 414003"
328,Shri Datt Abhyasika Studyroom,19.12117015,74.73528075,"Kusthdham Rd, near shree samarth vidhya mandir, Professor Colony, Savedi, Ahmednagar, Maharashtra 414003"
329,Pickabook Toys and Books Library Ahmednagar,19.12334912,74.7363515,"Gulmohar Rd, Savedi, Ahmednagar, Maharashtra 414001"
330,Mahavir Kaladan,19.08928416,74.73714225,"3PPP+RW6, Maliwada, Ahmednagar, Maharashtra 414001"
331,Markandeya library,19.10082591,74.73123892,"3PXJ+8JG, Sudke Mala, Ahmednagar, Maharashtra 414001"
332,Believe Study Hub,19.10024884,74.73164605,"Chitale Rd, in front of Datta Bakery, near Nehru market, Sarjepura city, Ahmednagar, Maharashtra 414001"
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,NAGPUR,,,
365,"Dr. Babasaheb
 Ambedkar Sarvajanik Wachanalaya",19.41167,80.00389,"Vyankatra-opetha Tal. Aheri, Dist.
 Gadchiroli"
366,"Eklavya Granthlaya,",,,"Armori, Tal. Armori, Dist. Gadchiroli"
367,,,,
,"Swa.Pandurang Patil 
Kangune Sarvajanik 
Wachanalaya ",21.17073696,75.21816588,"249W+9JP, Unnamed Road, Rameshwar Bk., Maharashtra 425105"
,Kai.krishna natthu patil sarvajanik vachnalay &,21.46242579,74.34475278,"C94Q+Q6W, Jun Mohide, Maharashtra 425411"
,"Swa.Shri. Bhausaheb 
Deshmukh 
Sarvajanik 
Wachanalaya",20.62025298,74.84607699,"GRJ9+966, MH SH 19, Deshmukhwadi, Pilkhod, Maharashtra 424116"
,"Rajmata Ahilyabai Holkar Sarvajanik Vachanalay,Udane",20.95406558,74.62085726,"Manik Chauk, Udane, Maharashtra 424302"
,"adasaheb Harchand Badgujar Sarvajanik Vachanalay,Mukati,Tal & Dist-Dhule",20.98997047,74.99439242,"Mukti, Maharashtra 424301"
,"Kai.Sau Kusumbai Balkrushna Wani Sarvajanik Vachanalay,Balapur,Dhule",20.92328309,74.86804965,"Varkhede, Road, Balapur, Maharashtra 424301"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
386,,,,
387,,,,
388,,,,
389,NASHIK DISTRICT,,,
390,,,,
391,"Ahmadnagar Zilha 
Wachanalaya ",19.09666678,74.73615061,"3750, Chitale Rd, near Jilha Vachanalay, Nalegaon, Ahmednagar, Maharashtra 414001"
392,Sarvajanik Mofat Wachanalaya Gram.Panchayat,,,
393,,,,
394,"Kai.Rodaji Ramaji 
Deshmukh Sarvjanik 
Wachanalaya",19.52111959,73.87005215,"GVCC+82X, Rajur, Maharashtra 422604"
395,,,,
396,"Dr.Babasaheb 
Ambedkar Sarvjanik 
Wachanalaya",20.11577218,73.82937373,"XQ99+FHG, State Bank Chowk, Cidco, Nashik, Maharashtra 422009"
397,"Shri Agasti Sarvjanik 
Wachanalaya ",19.51605491,74.00532824,"G284+84R, Dongargaon, Akole, Maharashtra 422601"
398,"Adarsh Gramin 
Sarvjanik 
Wachanalaya ",19.18469763,72.85615693,"Adarsh sarvajnik wachanalaya, taluka, Peru Baug, Jay Prakash Nagar, Goregaon, Mohadi, Mumbai, Maharashtra 441807"
399,"WachanalayaDeepa Nisal
Swami 
Vivekanand 
Sarvjanik 
",19.69532912,74.1065151,"H38V+VMH, Vadgaon Landga, Maharashtra 422603"
400,"Maharshi Pratistan 
Sanchalit Akasharvel
Sarvajanik 
Granthalay ",19.06576843,72.9166031,"3V5M+XFM, Shiv Srishti Road, Milan Nagar, Kurla, Mumbai, Maharashtra 400024"
401,"Sambrudha
Sarvjanik 
Wachanalay",21.26786768,77.63447933,"7J9M+4QX, Kondwardha, Maharashtra 444723"
402,"Swatantravir 
Savarkar Sarvjanik 
Wachanalaya",19.0295839,72.83660889,"43, Dr Baba Saheb Ambedkar Rd, Shree Ganesh Nagar, Lal Baug, Chinchpokli, Mumbai, Maharashtra 400012"
403,Swa.Sau.Kamlini Balasaheb Satbhai Sarvjanik Wachanalaya,20.14482739,74.61457188,"VFHH+M48, Sainagar, Mahadevnagar, Kopargaon, Maharashtra 423601"
404,Grampanchayat  Wachanalaya,20.22890412,73.67174934,"WV7X+MGC, Nashik - Pune Rd, Shinde, Maharashtra 422102"
405,Satguru Sant Gadghibaba Sarvjanik Wachanalaya,20.05725397,73.79791528,"3Q4W+QW4, Boargad, Shirish Society, Nashik, Maharashtra 422004"
406,Swa.Rasiklal Mniklal Parik Hindi Sarvjanik Wachanalaya,21.19004379,78.13745658,"346G+V9P, Warkhed, Maharashtra 444903"
407,"Lokmanya Taluka 
Wachanalaya ",19.17831196,73.33610477,"28F8+76M, Neral, Maharashtra 410101"
408,Chtrapati Shvaji Wachanalaya,18.93889493,75.52380749,"Jamkhed, Maharashtra 413201"
409,"Shri.Ganesh 
Sarvjanik 
Wachanalaya",19.76184703,73.02957894,"F4H4+68P, Dighashi, Maharashtra 421302"
410,Samarth Library And Study Room,20.02167165,73.75865578,"Akashwani Tower, Near, D. K. Nagar, Nashik, Maharashtra 422013"
411,Murkute Abhyasika,20.00780039,73.77479195,"Laxmi-Narayan Apartment, Lane No. 2, Sharanpur Rd, New Pandit Colony, Nashik, Maharashtra 422002"
412,Panditrao Khaire Library,20.00581231,73.79316097,"2Q3V+86F, Dharmaji Khaire Marg, Naikwadi Pura, Panchavati, Nashik, Maharashtra 422001"
413,,,,
414,"Janata Sarvajanik 
Wachanalaya ",20.90256699,76.2075571,"R682+3J7, Datala, Maharashtra 443102"
415,"Prasad Sarvajanik 
Wachanalaya ",20.98035395,74.78496555,"80 Feet Rd, Agrawal Nagar, Dhule, Maharashtra 424001"
416,Dr Babasaheb sarvjank vachnalaya,21.3747612,74.42241671,"7CJ2+25P, Rajale, Maharashtra 425411"
417,Pradnyadeep Sarvajanik Vachnalay,20.33271599,75.19145968,"75C2+GJ9, Narsingpur, Kannad, Maharashtra 431103"
418,"Narayan Martand Sarvajanik Wachanalaya , Yawal",20.80073188,76.20769504,"5M8W+PP9, Gawat Bazar, near Apna Bazar Super Shop, Madhav Nagar, Yawal, Maharashtra 425301"
419,Dr. Hedgewar sarvajanik Wachnalay,20.62089564,75.74077609,"GM8X+FGX, Pimpaldari, Maharashtra 431117"
420,"Vir lahuji sarvajanik vachnalaya, Gopalpur",19.63579718,75.12004853,"Khamgaon, road, Newasa, Maharashtra 414603"
421,Prasad Sarvjanik Vachnalay,19.58450183,74.92735125,"GXG4+776, government rural hospital Rd, Nipunge Wasti, Newasa Fata, Maharashtra 414603"
422,"Kai.Sheth Chintaman Rambhau Nikam ,Sarvajanik Wachnalay,Warud",21.26817348,74.86135148,"5VQ2+QR7, Warud, Tal Shindakheda, Dist, Dhule, Maharashtra"
423,"Lokseva Sarvajanik Vachnalay (granthalay), chani",20.39097442,77.92808536,"8XM6+G56, Chani., Maharashtra 445002"
424,Yashwanta Foundation Library,20.15909828,76.88987734,"3V7V+V5H, Chichamba Pen, Maharashtra 444504"
425,Yashwant Library,19.91138351,75.91827394,"RVVR+48M, Mastgarh, Sangram nagar, Rahman Ganj, Jalna, Maharashtra 431213"
426,Yashwant Abhyasika,18.97594166,75.43041231,"WCGQ+4F5, A/P Dongarkinhi, Tell, Patoda"
427,Sarvajanik vachanalaya Abhona,20.52430646,73.98845672,"FWHG+H2G, Omkar Colony, Abhona, Maharashtra 423502"
428,Yashwantrao Chavan Granthalaya va Saravajanik Wachnalaya,20.09494929,73.76014712,"Neeraj Heigts, Thakur Residency, Gangapur Rd, Savarkar Nagar, Nashik, Maharashtra 422013"
429,Shri sant santaji sarvjanik vachnalay,21.34375951,75.87493361,"6J4C+23M, Chunchale, Maharashtra 425302"
430,"Shri.Samarth 
Sadguru 
Kisangiribaba 
Sarvajanik 
Wachanalaya ",19.76500424,76.02866064,"J2FM+JQQ, शेवगळ ता, Ghansawangi, Shevgal, Maharashtra 431207"
431,संत गाडगे बाबा सार्वजनीक वाचनालय,20.56424826,77.70956886,"FP5M+FGM, Ghareful, Maharashtra 445201"
432,SHREE SATIDEVI SUBHODH VACHNALAY\,21.14430802,74.90805516,"3JGM+36W, MH SH 12, Boris, Maharashtra 424307"
433,Jagatguru Shri Tukaram Maharaj Librery,20.93931643,76.75357822,"QMRV+4JH, near Municipal Highschool, Shegaon, Maharashtra 444203"
434,"Shri. Dnyaneshwar 
Granthalay",19.46408262,75.04770481,"F22J+8V5, Dnyaneshwar Sugar Factory Bhenda, Bhende Bk., Maharashtra 414605"
435,"Sant Dnyaneshwar Abhyasika
",20.04053099,73.80323411,"Katya, Maruti chowk, Old, Ganeshwadi Rd, Old Adgaon Naka, Adgaon Naka, Panchavati, Nashik, Maharashtra 422003"
436,Sadguru Kisangiribaba Sarvajanik Wachanalaya,19.22174694,75.41414985,"5CH5+94Q, Kharwandi, Maharashtra 414113"
437,"Saiganesh Sarvajanik 
Wachanalaya ",20.12744952,73.80457085,"2Q4W+7GM, Ganeshwadi, Panchavati, Nashik, Maharashtra 422003"
,MUMBAI,,,
1,David Sassoon Library,18.927679,72.830933,"152, Mahatma Gandhi Road, Library Marg, Fort, Opposite Jehangir Art Gallery, Mumbai, Maharashtra 400001"
2,Mumbai Marathi Grantha Sangrahalaya,19.013685,72.846581,"Mmgs Marg, Naigaon, Dadar East, Mumbai, Maharashtra 400014"
3,Mumbai Marathi Grantha Sangrahalaya,19.164795,72.854019,"Tanaji Nagar Road, Idbi Bank, Tanji Nagar Malad East, Mumbai, Maharashtra 400097"
4,Marathi Granth Sangrahalaya,19.190825,72.97702,"Station Rd, Juhu Chandan Society, Jambli Naka, Thane West, Thane, Maharashtra"
5,Granthabhisaran Mandal,19.208187,73.184723,"Plot no.53/A, Kansai Vibhag, Ambernath (E) 421501"
6,Prabodhini Sarvajanik Wachanalaya va Granthalaya,,,"Near Badlapur Station, Kulgaon (E) 421503"
7,"Sarvajanik Wachanalaya, Nagar Palika",,,"Nagar Prishad Ambernath 421
501"
8,Shree Venykatesh Wachanalaya va Granthalaya,,,"4,Gurudev Market, Near Railway Station, Vangani 421503"
9,Badlapur Sahyog Sarvajanik Wachanalaya,,,"Near Sarkari Chavadi, Badlapur Gaon 421504"
10,Dyanda Wachanalaya,,,"Shiv-Sena Madhyavarti Karyalay, Veer Jijamata Chowk, Maratha Section- 32"
11,Niranjana Sarvajanik Wachanalaya,,,"In front of Block A-
403, Subhash Tekadi Ambedkar Chowk"
12,Maharashtra Mitra Mandal Sanch Wachanalaya,,,"Behind Bus Stand No.1, In front of Police Line."
13,Shree Gajanan Granthalaya,,,"Veer Savarkar
Marg, Lalchakki Station Road 421004"
14,Savitribai Phule Sarvajanik Wachanalaya,,,"Block No. 480/959, Near Sarvajanik Mitra Mandal,
Lal Chakki"
15,Dyansadhana Granthalaya Wachanalaya,,,"Barek No.1308/12, O.T.Section"
16,Tri Ratna Granthalaya,,,"Blook No.A-
399/798, Subhash Tekadi, Khansai Road"
17,Lokseva Sarvajanik Wachanalaya,,,"Shanti Nagar, Po.Ullhasnagar-3"
18,Dyansadhana Sarvajanik Wachanalaya,,,"Santosh Nagar,
O.T. Vibhag"
19,Pragati Sarvajanik Wachanalaya,,,"Aashalepada Room.No.1596, Near Ganpati Mandir, Yashavant Vidhyalay, Aamrapali Colony, Ullhasnagar"
20,Milind Granthalaya va Wachanalaya,,,"In Front of  Barek No.104, Mukund Nagar"
21,Pratibha sampann Granthalaya va Wachanalaya,,,"Near Karotiya Nagar, Bramhanpada,Cho pada Vibhag"
22,Shri Suprabha Sarvajanik Wachanalaya,,,"Barek No.736/3, Parmar Sadan, Central Hospital Area"
23,Saraswati Granthalaya,,,"Veer Tanhaji
Nagar, Barek No. 1892,
Section-40"
24,Sarvajanik Wachanalaya,,,"Shivaji Chowk, Kalyan-421301"
25,Kalyan Dombivali Maha Nagar Palika Granthalya,,,Kalyan Dombivali Maha Palika Dombivali Vibhag 421201
26,Jan Prabhodhini Sanch. Pandit Vasudev Shastri Panshikar Sarvajanik Wachanalaya,,,"Gajanan Palace, A- 03, Ganesh Mandir Marg, Manda (E) Titvala-421605"
27,Janta Utkarsh Wachanalaya,,,"Aashelepada Shri
Ram Nagar, Section-29, Po.Tal- Kalyan"
28,Dombivali Granthasangrahalaya,,,"Ghansham Gupte Road, Near Vishu Nagar Police Station, Dombivali- 421202"
29,Gyan Vihar Library,19.233347,72.854708,"3rd Floor, C Wing, Natya Mandir, Prabodhankar Thackeray Natya Mandir Parking, Sodawala Ln, Shanti Nagar, Borivali West, Mumbai, Maharashtra 400091"
30,Swami Vivekanand library and art centre,19.23003,72.83849,"6RHQ+69M, near MHB ground, New MHB Colony, Ashtavinayak Nagar, Borivali West, Mumbai, Maharashtra 400091"
31,Moreshwar Library,19.23076,72.82621,"6RHG+HJJ, Dr DG Palkar Rd, Shri Ganeshkrupa Society, Samabhav Society, Gorai 1, Borivali West, Mumbai, Maharashtra 400091"
32,We Care Foundation Reading Library,19.21982,72.82776,"Charkop, 139, Sector 5, Charkop, Sector 5 Charkop, Kandivali West, Mumbai, Maharashtra 400067"
33,Medhaavi Study Library,19.21998,72.83316,"H.S. L.T.D.,1st Floor, Adarsh C, 360/43, Shiv Mandir Lane, near Amba Mata Temple, Manoram CHS, RDP 8, Charkop Gaon, Kandivali(W, Mumbai, Maharashtra 400067"
34,Sarthak Library And Study Room,19.21512,72.82544,"Plot No 154 /D, Rangavali CHS, near Post Office, Sector 1 Charkop, Kandivali West, Mumbai, Maharashtra 400067"
35,Dani Library,19.21149,72.83956,"1, Dani House, Samir Chandavarkar Road, Off, Gokhale Rd, Mahavir Nagar, Dahanukar Wadi, Kandivali West, Mumbai, Maharashtra 400067"
36,Pawan Dham Library,19.21815,72.84213,"5th Floor, pawan dham, Temple Building, near MCA Ground, Kandivali, Satya Nagar, Kandivali West, Mumbai, Maharashtra 400067"
37,NEW Library,19.22468,72.84417,"6RCV+XHJ, Shimpoli, Borivali West, Mumbai, Maharashtra 400092"
38,Prathamesh Circulating Library,19.22286,72.83828,"Shop No.21, Bhushan Heritage, RDP 10, Chikoowadi, Borivali West, Mumbai, Maharashtra 400092"
39,Spacyes,19.21948,72.85276,"1st Floor,B/2, Bharat Baug, Lancelot, SV Road, Opp. Kalyan Jewellers,Next, to Shiv Temple, Borivali West, Mumabi,, Mumbai, Maharashtra 400092"
40,Aum Library Study & Co Working Space,19.23387,72.84891,"pusti tushti, G - 24, Zone Mall, Ground Floor, Chandavarkar lane, Swami Vivekananda Rd, near foodlord restaurant n, Borivali West, Mumbai, Maharashtra 400092"
41,Gyan Library - Free Kids Library on Wheels,19.24221,72.84866,"B Wing, Aquaria Grande, Devidas Lane, LIC Colony, Borivali West, Mumbai, Maharashtra 400103"
42,BMC LIBRARY BORIVALI EAST,19.22298,72.86262,"service centre, Central prabhu lane, 504, 504, land mark:, opposite hundai, Food Corporation of India Warehouse, Borivali East, Mumbai, Maharashtra 400066"
43,Prabhodhankar Thakare Library,19.22504,72.86966,"4, Jai Maharashtra Rd, Jay Maharashtra Nagar, Shreekrupa CHS, Trimurty Nagar, Borivali, Mumbai, Maharashtra 400066"
44,Apla Vachnalay.,19.24475,72.868,"Shop No.6/B - Wing,Hanuman Building,Maruti Nagar, Shiv Vallabh Rd, Ashok Van, Dahisar East, Mumbai, Maharashtra 400068"
45,Pravin Darekar Library,19.24874,72.87286,"6VWC+3M7 Shree Moreshwar S R A Building No 1, SN Dube Rd, River Park Complex, Rawalpada, Dahisar East, Mumbai, Maharashtra 400068"
46,"Shailendra Education Society, Hi- Tech Library",19.24201,72.86796,"6VR9+F8C, Shiv Vallabh Rd, behind Sai Baba Temple, Ashok Van, Dahisar East, Mumbai, Maharashtra 400068"
47,Lokmanya Tilak Library,19.1906,72.85292,"7, Jainacharya Ram Ram Marg, Malad, Shivaji Nagar, Malad East, Mumbai, Maharashtra 400097"
48,Dreambaux Library,19.18477,72.8476,"Mithaiwala cottage, Nadiadwala compound, Haji Bapu Rd, behind post office, Devchand Nagar, Dhobi Ghat, Malad East, Mumbai, Maharashtra 400097"
