Sr no,Name of library,x coord,y coord,Addresss
58,Ashoka Library,20.92264678,77.77975359,"Unnamed Road, Juni Kotwali, Amravati, Maharashtra 444605"
59,Drishti Library,20.96558337,77.7579522,"Pote Patil Rd, near rangoli lawn, Kathora Naka, Siddhivinayak Nagar, Amravati, Maharashtra 444602"
60,SARASWATI VACHNALAYA,20.95080359,77.80049427,"Saraswati vachnalaya V.M.S.M Tapovan, Maharashtra 44460"
61,kalpana Vachanalaya,20.92037919,77.76579264,"behind POONAM ELECTRONICS, Moti Nagar, Amravati, Maharashtra 444606"
62,ETHICS LIBRARY,20.9514699,77.76825451,"10, Palash Line, Gadge Nagar, Amravati, Maharashtra 444604"
63,Oasis Library,20.95182437,77.76937704,"Gadge Nagar, Amravati, Maharashtra 444604"
64,Rajmudra abhyasika,20.89949401,77.75028728,"Gopal Nagar, Sutgirni Rd, behind Vaishnavi Medical, near Jirafe Murtikar, Gopal Nagar, Amravati, Maharashtra 444607"
65,Krushnarpan Abhyasika,20.94990802,77.76899006,"Vishwanath painting line, Gadge Nagar, Amravati, Maharashtra 444601"
66,Aajol Library,20.95258761,77.76465858,"opposite Aajol Boys Hostel, near Govt Polytechnic College, Gadge Nagar, Amravati, Maharashtra 444603"
67,VITHUMAULI LIBRARY,20.95968261,77.76485074,"Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444604"
68,Sarvdhyan Library,20.94735744,77.77161845,"Gali Number 1, Radha Nagar, Gadge Nagar, Amravati, Maharashtra 444602"
69,Samarth Abhyasika,20.95227353,77.76589141,"Satyadev Furniture Line, opposite to Government Polytechnic, Gadge Nagar, Amravati, Maharashtra 444602"
70,Dhyeyapurti Library,20.96607046,77.7505918,"18, State Highway 242, SH242, Shrimangal Colony, Navsaari, Amravati, Maharashtra 444604"
71,"""पुस्तकम"" The Library",20.95664899,77.76449426,"Pustakam Library,1st Floor, NTA Office, Shegaon Naka Rd, opposite of HDFC Bank, Chowk, Amravati, Maharashtra 444602"
72,Rise Up Library,20.91431249,77.76401929,"Farashi Stop, Dastur Nagar Rd, near Sant Narhari Sonar Maharaja Gate, in front of Sahu Medical, Sindhu Nagar, Dastur Nagar, Amravati, Maharashtra 444601"
73,Shri Samarth library,20.91883167,77.76139981,"Raj Plaza, Gokul Market, Dastur Nagar, Amravati, Maharashtra 444605"
74,PRIME LIBRARY,20.92898626,77.76072821,"GANDHI NAGAR, near RUKHMINI NAGAR, near GANDHI GARGEN, Amravati, Maharashtra 444605"
75,SIDDHARTH LIBRARY,20.9233648,77.77039425,"Siddharth Ground, Frezarpura, Amravati, Maharashtra 44460"
76,Arnav Study Center,20.90188826,77.74222894,"Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607"
77,Reading Room Library,20.96737152,77.75624622,"18, SH242, Yashomangal Colony, Navsaari, Amravati, Maharashtra 444604"
78,Radhey Library,20.92857008,77.77256485,"Shyam Nagar, Amravati, Maharashtra 444606"
79,Lakshaya library,20.94869174,77.76807444,"Santosh bhuwan lane, Gadge Nagar, Amravati, Maharashtra 444604"
80,Yashodeep Reading Room Library,20.94970414,77.75332075,"K L College Rd, Rampuri Camp, Amravati, Maharashtra 444601"
81,Aastha Library,20.91923746,77.77531653,"Above Aastha Bhojanalaya, Pal Market, Mahadev Khori Rd, near Yashoda Nagar, Chauk, Amravati, Maharashtra 444606"
82,Sankalp Study Circle,20.92588109,77.74839979,"Flat No. 09, Kanchan Appartment, opposite to Bhojane Hospital, near Rajapeth Gurudwara, Madhokar Peth, Amravati, Maharashtra 444601"
83,The Learning Studio,20.94245377,77.76224501,"Behind Dr Barabde Hospital Camp Road, Irwin Square, Amravati, Maharashtra 444606"
84,Bhadke's Library,20.96910566,77.77428549,"Vilas Colony, Holywood Nagar, Amravati, Maharashtra 444604"
85,Knowledge Resource Center Sant Gadge Baba Amravati University,20.94816228,77.82116801,"Camp Area, Sant Gadge Baba Amravati University, SRPF Colony, Amravati, Maharashtra 444602"
86,JaySeva Vachnalay,20.93469295,77.78105573,"Vivekanand Colony, Amravati, Maharashtra 444606"
87,Shri Sant Gajanan Maharaj Vachnalay,20.9585848,77.78018293,"Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444604"
88,IYF LIBRARY,20.95057141,77.73293474,"Habib Nagar, Hazrat Bilal Nagar, Amravati, Maharashtra 444601"
89, VAIRATGAD library,20.94897694,77.79271565,"Sachin Chaudhari, Govt Quarter, Camp Rd, near RTO office, Amravati, Maharashtra 444602"
90,शिवाशिष अभ्यासिका,20.97640601,77.76118053,"Vijay Colony, Amravati, Maharashtra 444602"
91,Swara Study Center,20.90184853,77.7354862,"Nalanda Colony, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607"
92,Prayas Library,20.90715561,77.76625165,"Bapu Colony, Amravati, Maharashtra 444605"
93,Late Sopanrao supe library,20.9750183,77.7346907,"Amravati, Maharashtra 444602"
94,savitribai fhule vachanalaya,20.93580907,77.76097151,"Maltekdi, Amravati, Maharashtra 444606"
95,Yashogeet Library,20.96513348,77.73911418,"Unnamed Road, Navsaari, Amravati, Maharashtra 444602"
96,Akshar Library,20.95500858,77.77329757,"Rampuri Camp, Amravati, Maharashtra 444601"
